PO_Node,Cent_Node,TravTime
56481980,56482092,4.728717
56481980,56482093,3.652449
56481980,56482094,3.049318
56481980,56482095,4.272609
56481980,56482096,3.699403
56481980,56482097,4.001456
56481980,56482098,3.475605
56481980,56482099,3.393183
56481980,56482100,3.315603
56481980,56482101,2.635889
56481980,56482102,3.176075
56481980,56482103,3.687214
56481980,56482104,3.528432
56481980,56482105,3.291346
56481980,56482106,3.465923
56481980,56482107,3.909174
56481980,56482108,4.004656
56481980,56482109,3.90602
56481980,56482110,4.4545
56481980,56482111,4.256058
56481980,56482112,5.396345
56481980,56482113,5.490147
56481980,56482114,4.873184
56481980,56482115,4.509601
56481980,56482116,5.479379
56481980,56482117,4.820615
56481980,56482118,5.308949
56481980,56482119,5.145543
56481980,56482120,4.430251
56481980,56482121,4.042221
56481980,56482122,4.485895
56481980,56482123,4.706008
56481980,56482124,5.70712
56481980,56482125,4.289653
56481980,56482126,4.773592
56481980,56482127,4.926933
56481980,56482128,5.373267
56481980,56482129,5.329818
56481980,56482130,5.285553
56481980,56482131,5.818356
56481980,56482132,6.143488
56481980,56482133,6.49474
56481980,56482134,4.934639
56481980,56482135,4.960976
56481980,56482136,5.575438
56481980,56482137,5.431209
56481980,56482138,6.697499
56481981,56481989,5.009063
56481981,56481990,5.167293
56481981,56481991,4.685083
56481981,56481992,4.676483
56481981,56481993,4.207014
56481981,56481994,3.605658
56481981,56481995,3.312645
56481981,56481996,2.510716
56481981,56481997,1.917266
56481981,56481998,2.644586
56481981,56481999,2.884377
56481981,56482000,7.508226
56481981,56482001,6.282321
56481981,56482002,5.511185
56481981,56482003,5.658885
56481981,56482004,5.277434
56481981,56482005,5.142947
56481981,56482006,4.931463
56481981,56482007,4.596917
56481981,56482008,4.595389
56481981,56482009,5.964502
56481981,56482010,5.252246
56481981,56482011,5.69497
56481981,56482012,6.161164
56481981,56482013,6.287051
56481981,56482014,6.080566
56481981,56482015,5.814491
56481981,56482016,4.21996
56481981,56482017,4.001452
56481981,56482018,4.533227
56481981,56482019,4.907159
56481981,56482020,4.961282
56481981,56482021,4.77153
56481981,56482022,5.282226
56481981,56482023,2.979085
56481981,56482024,3.705998
56481981,56482025,5.281466
56481981,56482026,4.007302
56481981,56482027,4.644779
56481981,56482028,5.899949
56481981,56482029,5.697314
56481981,56482030,5.540925
56481981,56482031,4.861636
56481981,56482032,5.273353
56481981,56482033,5.156742
56481981,56482034,4.406761
56481981,56482035,4.795512
56481981,56482036,4.450868
56481981,56482037,4.341929
56481981,56482038,5.626599
56481981,56482039,5.149944
56481981,56482040,5.227268
56481981,56482041,5.999429
56481981,56482042,5.040987
56481981,56482043,6.113137
56481981,56482044,1.393475
56481981,56482045,0.765374
56481981,56482046,0.976357
56481981,56482047,0.42476
56481981,56482048,1.04899
56481981,56482049,2.258349
56481981,56482050,2.873851
56481981,56482051,2.228456
56481981,56482052,1.490404
56481981,56482053,1.347919
56481981,56482054,1.102643
56481981,56482055,0.873048
56481981,56482056,1.19006
56481981,56482057,1.473699
56481981,56482058,1.808981
56481981,56482059,1.81986
